Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancel Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
2025-01-09,11:43:06,CNR7796539,Success,CUS97094,Mini,vrangpura,Asarwa,7.07,6.91,,,,,,,228.9,15.26,4.83,4.51
2025-01-14,01:07:39,CNR2905476,Cancelled by Customer,CUS15109,Prime Sedan,Nikol,roda,,,1,Wrong Address,,,,,248.7,16.58,,
2025-01-30,23:26:53,CNR2551530,Success,CUS92872,Auto,Vastrapur,SG Highway,8.09,4.62,,,,,,,201.3,13.42,4.42,4.42
2025-01-14,22:57:43,CNR4820973,Incomplete,CUS97757,Bike,Gota,CTM,,,,,,,1,Vehicle Breakdown,80.35,5.32,,
2025-01-15,19:07:28,CNR2943691,Success,CUS73879,Auto,Satellite,Ghatlodia,5.57,5.79,,,,,,,89.88,4.16,4.9,4.4
2025-01-28,09:50:59,CNR5864783,Success,CUS93859,Prime Plus,Lambha,Ghatlodia,9.26,5.21,,,,,,,123.15,8.21,4.92,4.2
2025-01-21,00:47:24,CNR3138231,Success,CUS39710,Prime Sedan,Bodakdev,Dariyapur,9.89,4.34,,,,,,,208.35,13.89,4.62,4.97
2025-01-12,01:14:17,CNR4897523,Incomplete,CUS82944,eBike,Sabarmati,Vastrapur,,,,,,,1,Customer Demand,114.01,1.73,,
2025-01-23,10:36:31,CNR3239391,Cancelled by Driver,CUS14258,Bike,Memgar,Vastrapur,,,,,1,The customer was coughing/sick,,,146.4,9.76,,
2025-01-19,05:52:15,CNR5800292,Cancelled by Driver,CUS19624,eBike,Bodakdev,Prahlad gar,,,,,1,Persol & Car related issues,,,234,13,,
2025-01-09,14:55:52,CNR9968899,Success,CUS72797,Mini,Memgar,Judges Bunglow,4.34,3.75,,,,,,,82.09,2.29,4.7,4.84
2025-01-15,19:02:07,CNR4474373,Success,CUS67808,Prime Plus,Ranip,Behrampura,4.47,7.19,,,,,,,101.43,1.95,4.55,4.45
2025-01-29,04:57:37,CNR3272511,Cancelled by Driver,CUS33134,Mini,Behrampura,Paldi,,,,,1,Persol & Car related issues,,,116.67,1.4,,
2025-01-28,05:06:53,CNR3270655,Incomplete,CUS67629,eBike,Kankaria,Rakhial,,,,,,,1,Other Issue,150.75,10.05,,
2025-01-21,23:05:57,CNR2479377,Success,CUS14270,Bike,Rakhial,Satellite,8.56,2.07,,,,,,,206.25,13.75,4.65,4.34
2025-01-25,03:16:03,CNR9121698,Success,CUS89310,Prime Sedan,Isanpur,rol,4.1,2.12,,,,,,,227.16,12.62,3.6,4.79
2025-01-10,09:05:55,CNR6485391,Success,CUS95739,Bike,Memgar,Kankaria,9.01,6.06,,,,,,,110.68,5.47,4.14,4.69
2025-01-14,11:51:51,CNR3685122,Incomplete,CUS97133,Prime Sedan,Saraspur,Judges Bunglow,,,,,,,1,Vehicle Breakdown,171.15,11.41,,
2025-01-10,16:09:24,CNR9237631,Success,CUS63142,Bike,Dani Limda,Science City,8.09,5.36,,,,,,,276.9,18.46,3.69,4.68
2025-01-05,12:15:04,CNR5994261,Success,CUS39933,Prime Plus,vrangpura,Asarwa,4.7,7.49,,,,,,,337.86,18.77,4.14,3.89
2025-01-16,19:12:45,CNR3463984,Success,CUS50038,eBike,vrangpura,Satellite,8.67,7.26,,,,,,,269.7,17.98,4.64,4.1
2025-01-11,23:57:53,CNR9785543,Success,CUS48911,Prime Sedan,vrangpura,Ambawadi,8.34,5.65,,,,,,,149.22,8.29,4.64,4.64
2025-01-02,23:47:27,CNR4892144,Incomplete,CUS83692,Bike,Sola,rol,,,,,,,1,Vehicle Breakdown,242.1,16.14,,
2025-01-13,00:49:16,CNR7667014,Success,CUS39874,Prime SUV,Jamalpur,rol,3.36,4.06,,,,,,,117.64,3.12,3.58,3.73
2025-01-18,20:59:15,CNR4812208,Cancelled by Customer,CUS63751,Prime SUV,Sabarmati,Dariyapur,,,1,AC is not working (Only for 4-wheelers),,,,,277.38,15.41,,
2025-01-06,08:33:40,CNR2714427,Success,CUS55464,Prime Plus,Jodhpur,Khokhra,6.16,3.54,,,,,,,121.2,8.08,4.61,3.75
